,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.7,0.87,23.0,0.82,0.91,10.0,0.83,0.91,10.0,0.51,0.7,37.0,0.57,0.72,26.0,0.58,0.74,27.0
1,0.09,0.06,-30.0,0.1,0.08,-19.0,0.09,0.07,-29.0,0.09,0.09,10.0,0.12,0.1,-9.0,0.12,0.11,-7.0
